File,LineStart,LineEnd,Error
buffer_underrun_dynamic.c,27,29,Off by One Error
buffer_underrun_dynamic.c,425,427,Off by One Error
buffer_underrun_dynamic.c,464,466,Off by One Error
buffer_underrun_dynamic.c,557,559,Off by One Error
buffer_underrun_dynamic.c,578,580,Off by One Error
underrun_st.c,91,93,Off by One Error
underrun_st.c,122,124,Off by One Error
underrun_st.c,153,155,Off by One Error
underrun_st.c,187,190,Off by One Error
buffer_overrun_dynamic.c,25,27,Off by One Error
buffer_overrun_dynamic.c,92,94,Off by One Error
buffer_overrun_dynamic.c,110,112,Off by One Error
buffer_overrun_dynamic.c,128,130,Off by One Error
buffer_overrun_dynamic.c,460,462,Off by One Error
buffer_overrun_dynamic.c,557,559,Off by One Error
buffer_overrun_dynamic.c,578,580,Off by One Error
buffer_overrun_dynamic.c,605,607,Off by One Error
buffer_overrun_dynamic.c,605,607,Off by One Error
func_pointer.c,117,123,Off by One Error
func_pointer.c,411,419,Off by One Error
invalid_memory_access.c,528,532,Off by One Error
memory_allocation_failure.c,238,242,Off by One Error
memory_allocation_failure.c,238,240,Off by One Error
overrun_st.c,568,570,Off by One Error
overrun_st.c,584,588,Off by One Error
uninit_var.c,142,142,Off by One Error
buffer_overrun_dynamic.c,583,583,Improper Null Termination
buffer_underrun_dynamic.c,582,582,Improper Null Termination
buffer_underrun_dynamic.c,699,699,Improper Null Termination
buffer_underrun_dynamic.c,780,780,Improper Null Termination
deletion_of_data_structure_sentinel.c,41,41,Improper Null Termination
deletion_of_data_structure_sentinel.c,62,62,Improper Null Termination
func_pointer.c,438,438,Improper Null Termination
invalid_memory_access.c,224,224,Improper Null Termination
memory_allocation_failure.c,535,535,Improper Null Termination
race_condition.c,91,91,Improper Null Termination
uninit_memory_access.c,435,435,Improper Null Termination
buffer_overrun_dynamic.c,583,583,Dangerous Functions
buffer_underrun_dynamic.c,582,582,Dangerous Functions
buffer_underrun_dynamic.c,699,699,Dangerous Functions
buffer_underrun_dynamic.c,780,780,Dangerous Functions
deletion_of_data_structure_sentinel.c,41,41,Dangerous Functions
deletion_of_data_structure_sentinel.c,62,62,Dangerous Functions
func_pointer.c,438,438,Dangerous Functions
invalid_memory_access.c,224,224,Dangerous Functions
memory_allocation_failure.c,535,535,Dangerous Functions
