File,LineStart,LineEnd,Error
buffer_underrun_dynamic.c,25,27,Off by One Error
func_pointer.c,127,133,Off by One Error
func_pointer.c,431,442,Off by One Error
invalid_memory_access.c,534,538,Off by One Error
memory_allocation_failure.c,247,251,Off by One Error
memory_allocation_failure.c,247,249,Off by One Error
buffer_overrun_dynamic.c,582,582,Improper Null Termination
buffer_underrun_dynamic.c,579,579,Improper Null Termination
buffer_underrun_dynamic.c,700,700,Improper Null Termination
buffer_underrun_dynamic.c,779,779,Improper Null Termination
deletion_of_data_structure_sentinel.c,42,42,Improper Null Termination
deletion_of_data_structure_sentinel.c,63,63,Improper Null Termination
func_pointer.c,464,464,Improper Null Termination
invalid_memory_access.c,232,232,Improper Null Termination
memory_allocation_failure.c,552,552,Improper Null Termination
race_condition.c,136,136,Improper Null Termination
uninit_memory_access.c,456,456,Improper Null Termination
buffer_overrun_dynamic.c,582,582,Dangerous Functions
buffer_underrun_dynamic.c,579,579,Dangerous Functions
buffer_underrun_dynamic.c,700,700,Dangerous Functions
buffer_underrun_dynamic.c,779,779,Dangerous Functions
deletion_of_data_structure_sentinel.c,42,42,Dangerous Functions
deletion_of_data_structure_sentinel.c,63,63,Dangerous Functions
func_pointer.c,464,464,Dangerous Functions
invalid_memory_access.c,232,232,Dangerous Functions
memory_allocation_failure.c,552,552,Dangerous Functions
race_condition.c,136,136,Dangerous Functions
uninit_memory_access.c,353,353,Dangerous Functions
uninit_memory_access.c,384,384,Dangerous Functions
uninit_memory_access.c,456,456,Dangerous Functions
buffer_underrun_dynamic.c,647,647,Dangerous Functions
buffer_underrun_dynamic.c,654,654,Dangerous Functions
deletion_of_data_structure_sentinel.c,42,42,Dangerous Functions
free_null_pointer.c,26,26,Dangerous Functions
free_null_pointer.c,118,118,Dangerous Functions
free_null_pointer.c,119,119,Dangerous Functions
free_null_pointer.c,156,156,Dangerous Functions
free_null_pointer.c,248,248,Dangerous Functions
free_null_pointer.c,249,249,Dangerous Functions
free_null_pointer.c,284,284,Dangerous Functions
free_null_pointer.c,325,325,Dangerous Functions
func_pointer.c,104,104,Dangerous Functions
func_pointer.c,407,407,Dangerous Functions
function_return_value_unchecked.c,110,110,Dangerous Functions
function_return_value_unchecked.c,335,335,Dangerous Functions
invalid_memory_access.c,105,105,Dangerous Functions
invalid_memory_access.c,213,213,Dangerous Functions
invalid_memory_access.c,510,510,Dangerous Functions
invalid_memory_access.c,567,567,Dangerous Functions
invalid_memory_access.c,576,576,Dangerous Functions
invalid_memory_access.c,622,622,Dangerous Functions
invalid_memory_access.c,634,634,Dangerous Functions
memory_allocation_failure.c,224,224,Dangerous Functions
memory_allocation_failure.c,594,594,Dangerous Functions
memory_leak.c,75,75,Dangerous Functions
memory_leak.c,76,76,Dangerous Functions
memory_leak.c,100,100,Dangerous Functions
memory_leak.c,277,277,Dangerous Functions
memory_leak.c,405,405,Dangerous Functions
memory_leak.c,408,408,Dangerous Functions
memory_leak.c,430,430,Dangerous Functions
memory_leak.c,431,431,Dangerous Functions
memory_leak.c,526,526,Dangerous Functions
null_pointer.c,258,258,Dangerous Functions
null_pointer.c,259,259,Dangerous Functions
null_pointer.c,354,354,Dangerous Functions
st_underrun.c,24,24,Dangerous Functions
st_underrun.c,25,25,Dangerous Functions
st_underrun.c,51,51,Dangerous Functions
st_underrun.c,62,62,Dangerous Functions
st_underrun.c,81,81,Dangerous Functions
st_underrun.c,86,86,Dangerous Functions
st_underrun.c,116,116,Dangerous Functions
st_underrun.c,123,123,Dangerous Functions
st_underrun.c,171,171,Dangerous Functions
st_underrun.c,213,213,Dangerous Functions
st_underrun.c,234,234,Dangerous Functions
uninit_memory_access.c,55,55,Dangerous Functions
uninit_pointer.c,197,197,Dangerous Functions
uninit_pointer.c,400,400,Dangerous Functions
uninit_pointer.c,423,423,Dangerous Functions
uninit_var.c,152,152,Dangerous Functions
unlock_without_lock.c,388,388,Dangerous Functions
wrong_arguments_func_pointer.c,208,208,Dangerous Functions
wrong_arguments_func_pointer.c,209,209,Dangerous Functions
wrong_arguments_func_pointer.c,380,380,Dangerous Functions
wrong_arguments_func_pointer.c,381,381,Dangerous Functions
wrong_arguments_func_pointer.c,435,435,Dangerous Functions
wrong_arguments_func_pointer.c,474,474,Dangerous Functions
main.c,22,22,Dangerous Functions
deletion_of_data_structure_sentinel.c,23,23,Memory Leak
zero_division.c,236,236,Memory Leak
buffer_overrun_dynamic.c,243,243,Memory Leak
buffer_overrun_dynamic.c,273,273,Memory Leak
buffer_overrun_dynamic.c,294,294,Memory Leak
buffer_overrun_dynamic.c,343,343,Memory Leak
buffer_overrun_dynamic.c,360,360,Memory Leak
buffer_overrun_dynamic.c,528,528,Memory Leak
buffer_overrun_dynamic.c,572,572,Memory Leak
buffer_underrun_dynamic.c,260,260,Memory Leak
buffer_underrun_dynamic.c,275,275,Memory Leak
buffer_underrun_dynamic.c,296,296,Memory Leak
buffer_underrun_dynamic.c,345,345,Memory Leak
buffer_underrun_dynamic.c,362,362,Memory Leak
buffer_underrun_dynamic.c,526,526,Memory Leak
buffer_underrun_dynamic.c,570,570,Memory Leak
buffer_underrun_dynamic.c,667,667,Memory Leak
