CID,Type,Impact,Status,First Detected,Owner,Classification,Severity,Action,Component,Category,File,Function,Count,CWE,Line Number,MISRA Category,Standard: AUTOSAR C++14,Standard: CERT C,Standard: CERT C++,Standard: DISA-STIG V4R10,Standard: DISA-STIG V4R10 Severity,Standard: DISA-STIG V4R3,Standard: DISA-STIG V4R3 Severity,Standard: ISO TS17961 2016,Standard: OWASP Mobile Top Ten 2016,Standard: OWASP Web Top Ten 2017,Standard: PCI DSS 2018
263229,Waiting while holding a lock,Medium,Fixed,10/10/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Program hangs,/01.w_Defects/sleep_lock.c,sleep_lock_002_tsk_001,1,667,124,None,None,None,None,APSC-DV-001995,CAT III,None,None,None,None,None,None
263228,Integer overflowed argument,Medium,Fixed,10/10/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Insecure data handling,/01.w_Defects/memory_allocation_failure.c,memory_allocation_failure_015_func_002,1,190,641,None,None,None,None,None,None,APSC-DV-002590,CAT I,None,None,None,6.5.6
263227,Calling risky function,Low,Fixed,10/10/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Security best practices violations,/01.w_Defects/sleep_lock.c,sleep_lock_003_tskentry_001,1,676,202,None,None,None,None,APSC-DV-002460,CAT II,APSC-DV-002460,CAT II,None,None,None,6.5.3
263226,Calling risky function,Low,Fixed,10/10/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Security best practices violations,/01.w_Defects/sleep_lock.c,sleep_lock_002_tskentry_001,1,676,148,None,None,None,None,APSC-DV-002460,CAT II,APSC-DV-002460,CAT II,None,None,None,6.5.3
263225,Out-of-bounds write,High,Fixed,10/10/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - corruptions,/01.w_Defects/buffer_overrun_dynamic.c,dynamic_buffer_overrun_008,1,119,151,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
263224,Uncaught exception,Medium,Fixed,10/10/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Error handling issues,/03.w_Defects_Cpp/main.cpp,main,1,248,20,None,None,None,None,APSC-DV-003235,CAT II,APSC-DV-003235,CAT II,None,None,A6,6.5.5
263223,Waiting while holding a lock,Medium,Fixed,10/10/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Program hangs,/01.w_Defects/sleep_lock.c,sleep_lock_001_tsk_001,1,667,50,None,None,None,None,APSC-DV-001995,CAT III,None,None,None,None,None,None
263222,Uncaught exception,Medium,Fixed,10/10/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Error handling issues,/04.wo_Defects_Cpp/main.cpp,main,1,248,19,None,None,None,None,APSC-DV-003235,CAT II,APSC-DV-003235,CAT II,None,None,A6,6.5.5
263221,Integer overflowed argument,Medium,Fixed,10/10/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Insecure data handling,/01.w_Defects/memory_allocation_failure.c,memory_allocation_failure_004,1,190,103,None,None,None,None,None,None,APSC-DV-002590,CAT I,None,None,None,6.5.6
263220,Calling risky function,Low,Fixed,10/10/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Security best practices violations,/01.w_Defects/sleep_lock.c,sleep_lock_001_tskentry_001,1,676,70,None,None,None,None,APSC-DV-002460,CAT II,APSC-DV-002460,CAT II,None,None,None,6.5.3
263219,Division or modulo by zero,Medium,Fixed,10/10/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Integer handling issues,/03.w_Defects_Cpp/improper_error_handling.cpp,improper_error_handling_001,1,369,22,None,None,None,None,APSC-DV-003320,CAT II,APSC-DV-003320,CAT II,None,M7,None,None
263218,Waiting while holding a lock,Medium,Fixed,10/10/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Program hangs,/01.w_Defects/sleep_lock.c,sleep_lock_003_tsk_001,1,667,182,None,None,None,None,APSC-DV-001995,CAT III,None,None,None,None,None,None
227831,Negative array index read,High,Fixed,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - illegal accesses,/02.wo_Defects/st_underrun.c,st_underrun_007_func_001,1,129,238,None,None,None,None,APSC-DV-002560,CAT I,APSC-DV-002530,CAT II,None,None,None,6.5.6
227830,Resource leak,High,Fixed,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Resource leaks,/02.wo_Defects/wrong_arguments_func_pointer.c,wrong_arguments_func_pointer_009,1,404,219,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,None
227829,Resource leak,High,Fixed,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Resource leaks,/02.wo_Defects/uninit_pointer.c,uninit_pointer_007,1,404,131,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,None
227828,Resource leak,High,Fixed,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Resource leaks,/02.wo_Defects/wrong_arguments_func_pointer.c,wrong_arguments_func_pointer_009,1,404,219,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,None
227827,Uninitialized scalar variable,High,Fixed,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Uninitialized variables,/02.wo_Defects/invalid_memory_access.c,invalid_memory_access_014,1,457,482,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,None,None,None
227826,Data race condition,Medium,Fixed,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Concurrent data access violations,/02.wo_Defects/unlock_without_lock.c,unlock_without_lock_004_tsk_002,1,366,274,None,None,None,None,APSC-DV-001995,CAT II,APSC-DV-001995,CAT II,None,M7,None,None
227825,Logically dead code,Medium,Fixed,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/02.wo_Defects/free_nondynamically_allocated_memory.c,free_nondynamic_allocated_memory_008,1,561,127,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,M7,None,None
227824,Data race condition,Medium,Fixed,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Concurrent data access violations,/02.wo_Defects/st_cross_thread_access.c,st_cross_thread_access_001_tsk_002,1,366,64,None,None,None,None,APSC-DV-001995,CAT II,APSC-DV-001995,CAT II,None,M7,None,None
227823,Resource leak,High,Fixed,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Resource leaks,/02.wo_Defects/invalid_memory_access.c,invalid_memory_access_015,1,404,538,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,None
227822,Logically dead code,Medium,Fixed,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/02.wo_Defects/free_nondynamically_allocated_memory.c,free_nondynamic_allocated_memory_009,1,561,140,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,M7,None,None
227821,Data race condition,Medium,Fixed,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Concurrent data access violations,/02.wo_Defects/st_cross_thread_access.c,st_cross_thread_access_003_tsk_001,1,366,223,None,None,None,None,APSC-DV-001995,CAT II,APSC-DV-001995,CAT II,None,M7,None,None
227820,Logically dead code,Medium,Fixed,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/02.wo_Defects/free_null_pointer.c,free_null_pointer_011_func_002,2,561,401,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,M7,None,None
227819,Logically dead code,Medium,Fixed,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/02.wo_Defects/uninit_memory_access.c,uninit_memory_access_014_func_001,2,561,417,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,M7,None,None
227818,Use after free,High,Fixed,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - illegal accesses,/02.wo_Defects/invalid_memory_access.c,invalid_memory_access_003,1,416,113,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
227817,Logically dead code,Medium,Fixed,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/02.wo_Defects/free_nondynamically_allocated_memory.c,free_nondynamic_allocated_memory_012,1,561,187,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,M7,None,None
227816,Infinite loop,Medium,Fixed,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Program hangs,/02.wo_Defects/redundant_cond.c,redundant_cond_009,1,835,175,None,None,None,None,APSC-DV-003320,CAT II,APSC-DV-003320,CAT II,None,M7,None,None
227815,Logically dead code,Medium,Fixed,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/02.wo_Defects/double_free.c,double_free_009,1,561,152,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,M7,None,None
227814,Calling risky function,Low,Fixed,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Security best practices violations,/02.wo_Defects/free_null_pointer.c,free_null_pointer_011_func_001,1,676,363,None,None,None,None,APSC-DV-002460,CAT II,APSC-DV-002460,CAT II,None,None,None,6.5.3
227813,Logically dead code,Medium,Fixed,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/02.wo_Defects/double_free.c,double_free_007,1,561,117,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,M7,None,None
227812,Double unlock,Medium,Fixed,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,API usage errors,/02.wo_Defects/livelock.c,mythreadA,1,765,32,None,None,None,None,None,None,None,None,None,None,None,None
227811,Logically dead code,Medium,Fixed,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/02.wo_Defects/free_nondynamically_allocated_memory.c,free_nondynamic_allocated_memory_011,1,561,169,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,M7,None,None
227810,Infinite loop,Medium,Fixed,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Program hangs,/02.wo_Defects/redundant_cond.c,redundant_cond_013,1,835,255,None,None,None,None,APSC-DV-003320,CAT II,APSC-DV-003320,CAT II,None,M7,None,None
227809,Double unlock,Medium,Fixed,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,API usage errors,/02.wo_Defects/livelock.c,mythreadB,1,765,51,None,None,None,None,None,None,None,None,None,None,None,None
227808,Unused value,Low,Fixed,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Code maintainability issues,/02.wo_Defects/invalid_memory_access.c,invalid_memory_access_001,1,563,37,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,M7,None,None
227807,Negative array index read,High,Fixed,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - illegal accesses,/02.wo_Defects/st_underrun.c,st_underrun_002_func_001,1,129,53,None,None,None,None,APSC-DV-002560,CAT I,APSC-DV-002530,CAT II,None,None,None,6.5.6
227806,Data race condition,Medium,Fixed,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Concurrent data access violations,/02.wo_Defects/unlock_without_lock.c,unlock_without_lock_004_tsk_001,1,366,253,None,None,None,None,APSC-DV-001995,CAT II,APSC-DV-001995,CAT II,None,M7,None,None
227805,Logically dead code,Medium,Fixed,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/02.wo_Defects/double_free.c,double_free_002,1,561,38,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,M7,None,None
227804,Data race condition,Medium,Fixed,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Concurrent data access violations,/02.wo_Defects/race_condition.c,race_condition_001_1,1,366,34,None,None,None,None,APSC-DV-001995,CAT II,APSC-DV-001995,CAT II,None,M7,None,None
227803,Logically dead code,Medium,Fixed,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/02.wo_Defects/free_nondynamically_allocated_memory.c,free_nondynamic_allocated_memory_002,1,561,35,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,M7,None,None
227801,Uninitialized scalar variable,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Uninitialized variables,/01.w_Defects/uninit_var.c,uninit_var_001,1,457,22,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,None,None,None
227800,Calling risky function,Low,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Security best practices violations,/02.wo_Defects/redundant_cond.c,redundant_cond_011,2,676,216,None,None,None,None,APSC-DV-002460,CAT II,APSC-DV-002460,CAT II,None,None,None,6.5.3
227799,Double free,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - corruptions,/01.w_Defects/double_free.c,double_free_009,1,415,168,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
227798,Out-of-bounds write,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - corruptions,/01.w_Defects/buffer_overrun_dynamic.c,dynamic_buffer_overrun_020,1,119,368,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
227797,Structurally dead code,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/02.wo_Defects/func_pointer.c,func_pointer_014_func_002,2,561,531,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,M7,None,None
227796,Resource leak,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Resource leaks,/02.wo_Defects/memory_allocation_failure.c,memory_allocation_failure_009_func_001,3,404,281,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,None
227795,Out-of-bounds write,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - corruptions,/01.w_Defects/overrun_st.c,overrun_st_052,1,119,749,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
227793,Free of array-typed value,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - corruptions,/01.w_Defects/free_nondynamic_allocated_memory.c,free_nondynamic_allocated_memory_011,1,590,170,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-003320,CAT II,None,None,None,6.5.6
227792,Out-of-bounds read,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - illegal accesses,/01.w_Defects/overrun_st.c,overrun_st_042,1,125,588,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
227791,Double free,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - corruptions,/01.w_Defects/double_free.c,double_free_004,1,415,87,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
227790,Calling risky function,Low,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Security best practices violations,/02.wo_Defects/data_lost.c,data_lost_012,2,676,156,None,None,None,None,APSC-DV-002460,CAT II,APSC-DV-002460,CAT II,None,None,None,6.5.3
