File,LineStart,LineEnd,Error
buffer_underrun_dynamic.c,671,671,cpp%2Fdc%2FCppSameEvalBinaryExpressiontrue
buffer_underrun_dynamic.c,676,676,cpp%2Fdc%2FCppSameEvalBinaryExpressiontrue
dead_code.c,132,132,cpp%2Fdc%2FCppLoopCheckAndUpdateMismatch
dead_code.c,98,98,cpp%2Fdc%2FCppSameEvalBinaryExpressionfalse
double_free.c,22,22,cpp%2Fdc%2FCDoubleFree
double_free.c,43,43,cpp%2Fdc%2FCDoubleFree
double_free.c,64,64,cpp%2Fdc%2FCDoubleFree
double_free.c,87,87,cpp%2Fdc%2FCDoubleFree
double_free.c,101,101,cpp%2Fdc%2FCDoubleFree
double_free.c,115,115,cpp%2Fdc%2FCDoubleFree
double_free.c,131,131,cpp%2Fdc%2FCDoubleFree
double_free.c,149,149,cpp%2Fdc%2FCDoubleFree
double_free.c,168,168,cpp%2Fdc%2FCDoubleFree
double_free.c,187,187,cpp%2Fdc%2FCDoubleFree
double_free.c,128,128,cpp%2Fdc%2FCppSameEvalBinaryExpressiontrue
double_free.c,40,40,cpp%2Fdc%2FCDoubleFree
double_free.c,61,61,cpp%2Fdc%2FCDoubleFree
double_free.c,165,165,cpp%2Fdc%2FCDoubleFree
double_free.c,184,184,cpp%2Fdc%2FCDoubleFree
double_free.c,204,204,cpp%2Fdc%2FCDoubleFree
double_free.c,222,222,cpp%2Fdc%2FCDoubleFree
double_free.c,37,37,cpp%2Fdc%2FUseAfterFree
double_lock.c,224,224,cpp%2Fdc%2FCastIntegerToAddress
double_lock.c,225,225,cpp%2Fdc%2FCastIntegerToAddress
double_lock.c,40,40,cpp%2Fdc%2FPthreadDoubleLock
double_lock.c,42,42,cpp%2Fdc%2FPthreadDoubleLock
double_lock.c,93,93,cpp%2Fdc%2FPthreadDoubleLock
double_lock.c,140,140,cpp%2Fdc%2FPthreadDoubleLock
double_lock.c,149,149,cpp%2Fdc%2FPthreadDoubleLock
double_lock.c,195,195,cpp%2Fdc%2FPthreadDoubleLock
double_lock.c,208,208,cpp%2Fdc%2FPthreadDoubleLock
free_nondynamically_allocated_memory.c,208,208,cpp%2Fdc%2FDerefOfMaybeNull
free_nondynamically_allocated_memory.c,209,209,cpp%2Fdc%2FDerefOfMaybeNull
free_nondynamically_allocated_memory.c,115,115,cpp%2Fdc%2FCDoubleFree
free_nondynamically_allocated_memory.c,128,128,cpp%2Fdc%2FCDoubleFree
free_nondynamically_allocated_memory.c,141,141,cpp%2Fdc%2FCDoubleFree
free_nondynamically_allocated_memory.c,187,187,cpp%2Fdc%2FCDoubleFree
free_null_pointer.c,320,320,cpp%2Fdc%2FBufferOverflowUnsafeFunction
free_null_pointer.c,386,386,cpp%2Fdc%2FCastIntegerToAddress
free_null_pointer.c,410,410,cpp%2Fdc%2FCastIntegerToAddress
free_null_pointer.c,335,335,cpp%2Fdc%2FCppConstantBinaryExpression
free_null_pointer.c,443,443,cpp%2Fdc%2FCppConstantBinaryExpression
free_null_pointer.c,449,449,cpp%2Fdc%2FCppConstantBinaryExpression
free_null_pointer.c,455,455,cpp%2Fdc%2FCppConstantBinaryExpression
free_null_pointer.c,195,212,cpp%2Fdc%2FCppDeadCode
free_null_pointer.c,445,445,cpp%2Fdc%2FCppSameEvalBinaryExpressiontrue
free_null_pointer.c,515,515,cpp%2Fdc%2FDerefOfMaybeNull
free_null_pointer.c,516,516,cpp%2Fdc%2FDerefOfMaybeNull
free_null_pointer.c,517,517,cpp%2Fdc%2FDerefOfMaybeNull
free_null_pointer.c,530,530,cpp%2Fdc%2FDerefOfMaybeNull
