File,LineStart,LineEnd,Error
buffer_underrun_dynamic.c,672,672,cpp%2Fdc%2FCppSameEvalBinaryExpressiontrue
buffer_underrun_dynamic.c,677,677,cpp%2Fdc%2FCppSameEvalBinaryExpressiontrue
dead_code.c,113,113,cpp%2Fdc%2FCppSameEvalBinaryExpressiontrue
double_free.c,41,41,cpp%2Fdc%2FCDoubleFree
double_free.c,104,104,cpp%2Fdc%2FCDoubleFree
double_free.c,120,120,cpp%2Fdc%2FCDoubleFree
double_free.c,156,156,cpp%2Fdc%2FCDoubleFree
double_free.c,117,117,cpp%2Fdc%2FCppSameEvalBinaryExpressionfalse
double_free.c,39,39,cpp%2Fdc%2FCDoubleFree
double_free.c,153,153,cpp%2Fdc%2FCDoubleFree
double_free.c,172,172,cpp%2Fdc%2FCDoubleFree
double_free.c,191,191,cpp%2Fdc%2FCDoubleFree
double_free.c,209,209,cpp%2Fdc%2FCDoubleFree
double_free.c,37,37,cpp%2Fdc%2FUseAfterFree
double_lock.c,228,228,cpp%2Fdc%2FCastIntegerToAddress
double_lock.c,229,229,cpp%2Fdc%2FCastIntegerToAddress
free_nondynamically_allocated_memory.c,35,35,cpp%2Fdc%2FCppSameEvalBinaryExpressionfalse
free_nondynamically_allocated_memory.c,209,209,cpp%2Fdc%2FDerefOfMaybeNull
free_nondynamically_allocated_memory.c,210,210,cpp%2Fdc%2FDerefOfMaybeNull
free_nondynamically_allocated_memory.c,62,62,cpp%2Fdc%2FCDoubleFree
free_nondynamically_allocated_memory.c,115,115,cpp%2Fdc%2FCDoubleFree
free_nondynamically_allocated_memory.c,128,128,cpp%2Fdc%2FCDoubleFree
free_nondynamically_allocated_memory.c,141,141,cpp%2Fdc%2FCDoubleFree
free_nondynamically_allocated_memory.c,188,188,cpp%2Fdc%2FCDoubleFree
free_null_pointer.c,325,325,cpp%2Fdc%2FBufferOverflowUnsafeFunction
free_null_pointer.c,387,387,cpp%2Fdc%2FCastIntegerToAddress
free_null_pointer.c,415,415,cpp%2Fdc%2FCastIntegerToAddress
free_null_pointer.c,449,449,cpp%2Fdc%2FCppConstantBinaryExpression
free_null_pointer.c,455,455,cpp%2Fdc%2FCppConstantBinaryExpression
free_null_pointer.c,461,461,cpp%2Fdc%2FCppConstantBinaryExpression
free_null_pointer.c,205,220,cpp%2Fdc%2FCppDeadCode
free_null_pointer.c,451,451,cpp%2Fdc%2FCppSameEvalBinaryExpressiontrue
free_null_pointer.c,521,521,cpp%2Fdc%2FDerefOfMaybeNull
free_null_pointer.c,522,522,cpp%2Fdc%2FDerefOfMaybeNull
free_null_pointer.c,523,523,cpp%2Fdc%2FDerefOfMaybeNull
free_null_pointer.c,536,536,cpp%2Fdc%2FDerefOfMaybeNull
free_null_pointer.c,537,537,cpp%2Fdc%2FDerefOfMaybeNull
free_null_pointer.c,538,538,cpp%2Fdc%2FDerefOfMaybeNull
free_null_pointer.c,550,550,cpp%2Fdc%2FDerefOfMaybeNull
free_null_pointer.c,551,551,cpp%2Fdc%2FDerefOfMaybeNull
free_null_pointer.c,552,552,cpp%2Fdc%2FDerefOfMaybeNull
free_null_pointer.c,371,371,cpp%2Fdc%2FDerefOfMaybeNull
free_null_pointer.c,377,377,cpp%2Fdc%2FDerefOfMaybeNull
free_null_pointer.c,383,383,cpp%2Fdc%2FDerefOfMaybeNull
free_null_pointer.c,424,424,cpp%2Fdc%2FDerefOfMaybeNull
free_null_pointer.c,119,119,cpp%2Fdc%2FNullPtrPassFromMaybeNull
free_null_pointer.c,249,249,cpp%2Fdc%2FNullPtrPassFromMaybeNull
free_null_pointer.c,550,550,cpp%2Fdc%2FCDoubleFree
free_null_pointer.c,551,551,cpp%2Fdc%2FCDoubleFree
free_null_pointer.c,552,552,cpp%2Fdc%2FCDoubleFree
free_null_pointer.c,553,553,cpp%2Fdc%2FCDoubleFree
func_pointer.c,461,461,cpp%2Fdc%2FCastAddressToTooSmallType
func_pointer.c,354,354,cpp%2Fdc%2FCastIntegerToAddress
func_pointer.c,433,433,cpp%2Fdc%2FCppConstantBinaryExpression
func_pointer.c,559,559,cpp%2Fdc%2FCppDeadCode
func_pointer.c,627,627,cpp%2Fdc%2FNullPtrPassFromMaybeNull
function_return_value_unchecked.c,283,283,cpp%2Fdc%2FCppSameEvalBinaryExpressionfalse
function_return_value_unchecked.c,288,288,cpp%2Fdc%2FCppSameEvalBinaryExpressionfalse
improper_termination_of_block.c,23,23,cpp%2Fdc%2FCppSameEvalBinaryExpressiontrue
improper_termination_of_block.c,40,40,cpp%2Fdc%2FCppSameEvalBinaryExpressiontrue
invalid_extern.c,62,62,cpp%2Fdc%2FDerefOfMaybeNull
invalid_memory_access.c,576,576,cpp%2Fdc%2FBufferOverflowUnsafeFunction
invalid_memory_access.c,477,477,cpp%2Fdc%2FCMemoryLeak
invalid_memory_access.c,34,34,cpp%2Fdc%2FCppSameEvalBinaryExpressiontrue
invalid_memory_access.c,62,62,cpp%2Fdc%2FCppSameEvalBinaryExpressiontrue
invalid_memory_access.c,634,634,cpp%2Fdc%2FNullPtrPassFromMaybeNull
lock_never_unlock.c,178,178,cpp%2Fdc%2FCastIntegerToAddress
lock_never_unlock.c,179,179,cpp%2Fdc%2FCastIntegerToAddress
lock_never_unlock.c,247,247,cpp%2Fdc%2FCastIntegerToAddress
lock_never_unlock.c,248,248,cpp%2Fdc%2FCastIntegerToAddress
lock_never_unlock.c,350,350,cpp%2Fdc%2FCastIntegerToAddress
lock_never_unlock.c,351,351,cpp%2Fdc%2FCastIntegerToAddress
lock_never_unlock.c,422,422,cpp%2Fdc%2FCastIntegerToAddress
lock_never_unlock.c,423,423,cpp%2Fdc%2FCastIntegerToAddress
lock_never_unlock.c,502,502,cpp%2Fdc%2FCastIntegerToAddress
lock_never_unlock.c,503,503,cpp%2Fdc%2FCastIntegerToAddress
lock_never_unlock.c,575,575,cpp%2Fdc%2FCastIntegerToAddress
lock_never_unlock.c,576,576,cpp%2Fdc%2FCastIntegerToAddress
lock_never_unlock.c,210,210,cpp%2Fdc%2FPthreadDoubleLock
lock_never_unlock.c,307,307,cpp%2Fdc%2FPthreadDoubleLock
lock_never_unlock.c,452,452,cpp%2Fdc%2FPthreadDoubleLock
lock_never_unlock.c,552,552,cpp%2Fdc%2FPthreadDoubleLock
memory_allocation_failure.c,549,549,cpp%2Fdc%2FCastAddressToTooSmallType
memory_allocation_failure.c,451,451,cpp%2Fdc%2FCppSameEvalBinaryExpressiontrue
memory_allocation_failure.c,571,571,cpp%2Fdc%2FCppSameEvalBinaryExpressiontrue
