Filename, Defect, Subdefect, TP, FP, Variations, Detection rate, False pos rate, Productivity, Robust detection count, Robust detection rate,Warning count, Noise rate , Unique
bit_shift.c , Numerical defects , Bit shift bigger than integral type or negative , 17 , 1 , 17 , 100.0 , 5.88 , 97.01 , 16 , 94.12 , 19 , 10.53 , 0
buffer_overrun_dynamic.c , Dynamic memory defects , Dynamic buffer overrun , 32 , 8 , 32 , 100.0 , 25.0 , 86.6 , 24 , 75.0 , 196 , 83.67 , 0
buffer_underrun_dynamic.c , Dynamic memory defects , Dynamic buffer underrun , 37 , 9 , 39 , 94.87 , 23.08 , 85.43 , 29 , 74.36 , 258 , 85.66 , 1
cmp_funcadr.c , Pointer related defects , Comparison NULL with function pointer , 0 , 0 , 2 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
conflicting_cond.c , Inappropriate code , Contradict conditions , 4 , 4 , 10 , 40.0 , 40.0 , 48.99 , 0 , 0.0 , 14 , 71.43 , 0
data_lost.c , Numerical defects , Integer precision lost because of cast , 3 , 0 , 19 , 15.79 , 0.0 , 39.74 , 3 , 15.79 , 4 , 25.0 , 3
data_overflow.c , Numerical defects , Data overflow , 16 , 0 , 25 , 64.0 , 0.0 , 80.0 , 16 , 64.0 , 21 , 23.81 , 3
data_underflow.c , Numerical defects , Data underflow , 6 , 0 , 12 , 50.0 , 0.0 , 70.71 , 6 , 50.0 , 7 , 14.29 , 0
dead_code.c , Inappropriate code , Dead code , 1 , 1 , 13 , 7.69 , 7.69 , 26.65 , 0 , 0.0 , 14 , 92.86 , 0
dead_lock.c , Concurrency defects , Dead lock , 0 , 0 , 5 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 74 , 100.0 , 0
deletion_of_data_structure_sentinel.c , Dynamic memory defects , Deletion of data structure sentinel , 3 , 3 , 3 , 100.0 , 100.0 , 0.0 , 0 , 0.0 , 13 , 76.92 , 0
double_free.c , Resource management defects , Double free , 11 , 3 , 12 , 91.67 , 25.0 , 82.92 , 8 , 66.67 , 63 , 82.54 , 0
double_lock.c , Concurrency defects , Double lock , 0 , 0 , 4 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 39 , 100.0 , 0
double_release.c , Concurrency defects , Double release , 0 , 0 , 6 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 43 , 100.0 , 0
endless_loop.c , Misc defects , Unintentional end less loop , 9 , 3 , 9 , 100.0 , 33.33 , 81.65 , 6 , 66.67 , 30 , 70.0 , 6
