Filename, Defect, Subdefect, TP, FP, Variations, Detection rate, False pos rate, Productivity, Robust detection count, Robust detection rate,Warning count, Noise rate , Unique
bit_shift.c , Numerical defects , Bit shift bigger than integral type or negative , 0 , 0 , 17 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 1 , 100.0 , 0
buffer_overrun_dynamic.c , Dynamic memory defects , Dynamic buffer overrun , 31 , 4 , 32 , 96.88 , 12.5 , 92.07 , 27 , 84.38 , 53 , 41.51 , 0
buffer_underrun_dynamic.c , Dynamic memory defects , Dynamic buffer underrun , 35 , 2 , 39 , 89.74 , 5.13 , 92.27 , 33 , 84.62 , 59 , 40.68 , 1
cmp_funcadr.c , Pointer related defects , Comparison NULL with function pointer , 0 , 2 , 2 , 0.0 , 100.0 , 0.0 , 0 , 0.0 , 2 , 100.0 , 0
conflicting_cond.c , Inappropriate code , Contradict conditions , 10 , 0 , 10 , 100.0 , 0.0 , 100.0 , 10 , 100.0 , 21 , 52.38 , 3
data_lost.c , Numerical defects , Integer precision lost because of cast , 0 , 0 , 19 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 1 , 100.0 , 0
data_overflow.c , Numerical defects , Data overflow , 0 , 0 , 25 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 1 , 100.0 , 0
data_underflow.c , Numerical defects , Data underflow , 0 , 0 , 12 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 1 , 100.0 , 0
dead_code.c , Inappropriate code , Dead code , 1 , 1 , 13 , 7.69 , 7.69 , 26.65 , 0 , 0.0 , 19 , 94.74 , 0
dead_lock.c , Concurrency defects , Dead lock , 0 , 0 , 5 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 16 , 100.0 , 0
deletion_of_data_structure_sentinel.c , Dynamic memory defects , Deletion of data structure sentinel , 1 , 1 , 3 , 33.33 , 33.33 , 47.14 , 0 , 0.0 , 2 , 50.0 , 0
double_free.c , Resource management defects , Double free , 12 , 2 , 12 , 100.0 , 16.67 , 91.29 , 10 , 83.33 , 28 , 57.14 , 0
double_lock.c , Concurrency defects , Double lock , 3 , 0 , 4 , 75.0 , 0.0 , 86.6 , 3 , 75.0 , 8 , 62.5 , 0
double_release.c , Concurrency defects , Double release , 0 , 0 , 6 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 13 , 100.0 , 0
endless_loop.c , Misc defects , Unintentional end less loop , 0 , 2 , 9 , 0.0 , 22.22 , 0.0 , 0 , 0.0 , 15 , 100.0 , 0
