File,LineStart,LineEnd,Error
bit_shift.c,247,332,Duplicated function: 'void bit_shift_main ( ) { if ( vflag == 1 || vflag == 888 ) {...'
buffer_overrun_dynamic.c,27,28,"Possibly accessing array ""buf"" out of bounds at index [1...5]. Correct index(es): [0...4]"
buffer_overrun_dynamic.c,42,43,"Possibly accessing array ""buf"" out of bounds at index 5. Correct index(es): [0...4]"
buffer_overrun_dynamic.c,62,63,"Possibly accessing array ""buf"" out of bounds at index 5. Correct index(es): [0...4]"
buffer_overrun_dynamic.c,77,78,"Possibly accessing array ""buf"" out of bounds at index 5. Correct index(es): [0...4]"
buffer_overrun_dynamic.c,94,95,"Possibly accessing array ""buf"" out of bounds at index [1...5]. Correct index(es): [0...4]"
buffer_overrun_dynamic.c,112,113,"Possibly accessing array ""buf"" out of bounds at index [1...5]. Correct index(es): [0...4]"
buffer_overrun_dynamic.c,130,131,"Possibly accessing array ""buf"" out of bounds at index [1...5]. Correct index(es): [0...4]"
buffer_overrun_dynamic.c,146,147,"""buf"" may possibly be null"
buffer_overrun_dynamic.c,152,153,"Possibly accessing array ""buf[i]"" out of bounds at index [1...5]. Correct index(es): [0...4]"
buffer_overrun_dynamic.c,164,181,Duplicated function: 'void dynamic_buffer_overrun_009 ( ) { int * buf1 = ( int * )...'
buffer_overrun_dynamic.c,174,175,"""*pbuf[0], buf1"" may possibly be null"
buffer_overrun_dynamic.c,174,175,"Possibly accessing array ""*pbuf[i]"" out of bounds at index 6. Correct index(es): [0...4]"
buffer_overrun_dynamic.c,198,199,"Possibly accessing array ""sbuf"" out of bounds at index 5. Correct index(es): [0...4]"
buffer_overrun_dynamic.c,218,219,"Possibly accessing array ""s"" out of bounds at index 5. Correct index(es): [0...4]"
buffer_overrun_dynamic.c,233,234,"Possibly accessing array ""buf"" out of bounds at index 5. Correct index(es): [0...4]"
buffer_overrun_dynamic.c,248,249,"Possibly accessing array ""buf"" out of bounds at index 5. Correct index(es): [0...4]"
buffer_overrun_dynamic.c,263,264,"Possibly accessing array ""buf"" out of bounds at index 7. Correct index(es): [0...4]"
buffer_overrun_dynamic.c,278,279,"Possibly accessing array ""buf"" out of bounds at index 5. Correct index(es): [0...4]"
buffer_overrun_dynamic.c,298,299,"Possibly accessing array ""buf"" out of bounds at index 5. Correct index(es): [0...4]"
buffer_overrun_dynamic.c,312,313,"Possibly accessing array ""buf"" out of bounds at index 5. Correct index(es): [0...4]"
buffer_overrun_dynamic.c,333,334,"Possibly accessing array ""indexes"" out of bounds at index 4. Correct index(es): [0...3]"
buffer_overrun_dynamic.c,350,351,"Possibly accessing array ""buf"" out of bounds at index 5. Correct index(es): [0...4]"
buffer_overrun_dynamic.c,369,370,"Possibly accessing array ""buf"" out of bounds at index 5. Correct index(es): [0...4]"
buffer_overrun_dynamic.c,387,388,"Possibly accessing array ""p2"" out of bounds at index 5. Correct index(es): [0...4]"
buffer_overrun_dynamic.c,403,404,"Possibly accessing array ""p"" out of bounds at index 5. Correct index(es): [0...4]"
buffer_overrun_dynamic.c,435,436,"""buf"" may possibly be null"
buffer_overrun_dynamic.c,435,436,"Possibly accessing array ""buf"" out of bounds at index 5. Correct index(es): [0...4]"
buffer_overrun_dynamic.c,443,444,"""buf"" is checked for null after being dereferenced"
buffer_overrun_dynamic.c,443,444,"Condition ""buf != 0"" always evaluates to true"
buffer_overrun_dynamic.c,462,463,"Possibly accessing array ""buf"" out of bounds at index [1...5]. Correct index(es): [0...4]"
buffer_overrun_dynamic.c,480,481,"Possibly accessing array ""p"" out of bounds at index 5. Correct index(es): 0"
buffer_overrun_dynamic.c,496,497,"Possibly accessing array ""p"" out of bounds at index 30. Correct index(es): [0...19]"
buffer_overrun_dynamic.c,506,517,Duplicated function: 'void dynamic_buffer_overrun_028 ( ) { int * buf1 = ( int * )...'
buffer_overrun_dynamic.c,512,513,"""buf1"" may possibly be null"
buffer_overrun_dynamic.c,514,515,"""buf2"" may possibly be null"
buffer_overrun_dynamic.c,514,515,"Possibly accessing array ""buf1"" out of bounds at index 5. Correct index(es): [0...4]"
buffer_overrun_dynamic.c,532,533,"Possibly accessing array ""buf"" out of bounds at index 2. Correct index(es): 0"
buffer_overrun_dynamic.c,551,552,"""doubleptr"" may possibly be null"
buffer_overrun_dynamic.c,559,560,"Possibly accessing array ""doubleptr[i]"" out of bounds at index [1...10]. Correct index(es): [0...9]"
buffer_overrun_dynamic.c,580,581,"Possibly accessing array ""ptr1"" out of bounds at index [1...12]. Correct index(es): [0...11]"
buffer_overrun_dynamic.c,607,608,"Possibly accessing array ""ptr_s"" out of bounds at index [1...10]. Correct index(es): [0...9]"
buffer_overrun_dynamic.c,617,618,Value 33 is out of acceptable range: 'lower than 30'
buffer_overrun_dynamic.c,618,778,Duplicated function: 'void dynamic_buffer_overrun_main ( ) { if ( vflag == 1 ||...'
buffer_underrun_dynamic.c,29,30,"Possibly accessing array ""buf"" out of bounds at index [-1...3]. Correct index(es): [0...4]"
buffer_underrun_dynamic.c,45,46,"Possibly accessing array ""buf"" out of bounds at index -5. Correct index(es): [0...4]"
buffer_underrun_dynamic.c,65,66,"Possibly accessing array ""buf"" out of bounds at index -1. Correct index(es): [0...4]"
buffer_underrun_dynamic.c,80,81,"Possibly accessing array ""buf"" out of bounds at index -5. Correct index(es): [0...4]"
buffer_underrun_dynamic.c,97,98,"Possibly accessing array ""buf"" out of bounds at index -1. Correct index(es): [0...4]"
