File,LineStart,LineEnd,Error
buffer_overrun_dynamic.c,140,156,Duplicated function: 'void dynamic_buffer_overrun_008 ( ) { int * * buf = ( int * *...'
buffer_overrun_dynamic.c,145,146,"""buf"" may possibly be null"
buffer_overrun_dynamic.c,173,174,"""*pbuf[0], buf1"" may possibly be null"
buffer_overrun_dynamic.c,434,435,"""buf"" may possibly be null"
buffer_overrun_dynamic.c,442,443,"""buf"" is checked for null after being dereferenced"
buffer_overrun_dynamic.c,442,443,"Condition ""buf != 0"" always evaluates to true"
buffer_overrun_dynamic.c,511,512,"""buf1"" may possibly be null"
buffer_overrun_dynamic.c,513,514,"""buf2"" may possibly be null"
buffer_overrun_dynamic.c,550,551,"""doubleptr"" may possibly be null"
buffer_overrun_dynamic.c,617,618,Value 33 is out of acceptable range: 'lower than 30'
buffer_underrun_dynamic.c,146,147,"""buf"" may possibly be null"
buffer_underrun_dynamic.c,174,175,"""*pbuf[0], buf1"" may possibly be null"
buffer_underrun_dynamic.c,513,514,"""buf1"" may possibly be null"
buffer_underrun_dynamic.c,515,516,"""buf2"" may possibly be null"
buffer_underrun_dynamic.c,548,549,"""doubleptr"" may possibly be null"
buffer_underrun_dynamic.c,670,671,"""doubleptr"" may possibly be null"
buffer_underrun_dynamic.c,672,673,"Condition ""loc1 == 0"" always evaluates to true"
buffer_underrun_dynamic.c,677,678,"Condition ""loc2 == 0"" always evaluates to true"
buffer_underrun_dynamic.c,790,791,Value 40 is out of acceptable range: 'lower than 30'
cmp_funcadr.c,26,27,"Condition ""cmp_funcadr_001_func_001() == 0"" always evaluates to false"
cmp_funcadr.c,47,48,"Condition ""cmp_funcadr_002_func_001() == 10"" always evaluates to true"
dead_code.c,37,38,"Condition ""flag"" always evaluates to true"
dead_code.c,58,59,"Condition ""dead_code_003_func_001()"" always evaluates to true"
dead_code.c,96,97,"Condition ""flag > 0"" always evaluates to true"
dead_code.c,113,114,"Condition ""flag == 0"" always evaluates to true"
dead_code.c,130,131,"Condition ""i <= 1"" always evaluates to true"
dead_code.c,165,166,"Condition ""flag"" always evaluates to true"
dead_code.c,187,188,"Condition ""dead_code_010_func_001()"" always evaluates to true"
dead_code.c,227,228,"Condition ""flag > 0"" always evaluates to true"
dead_code.c,245,246,"Condition ""flag == 0"" always evaluates to true"
deletion_of_data_structure_sentinel.c,26,27,"""foo"" may possibly be null"
double_free.c,37,38,"""ptr"" may possibly be null"
double_free.c,38,39,"Condition ""i == 10"" always evaluates to false"
double_free.c,56,57,"""ptr"" may possibly be null"
double_free.c,74,75,"""ptr"" may possibly be null"
double_free.c,117,118,"Condition ""flag < 0"" always evaluates to false"
double_free.c,151,152,"Condition ""flag == 1"" always evaluates to false"
