Filename, Defect, Subdefect, TP, FP, Variations, Detection rate, False pos rate, Productivity, Robust detection count, Robust detection rate,Warning count, Noise rate , Unique
bit_shift.c , Numerical defects , Bit shift bigger than integral type or negative , 14 , 0 , 17 , 82.35 , 0.0 , 90.75 , 14 , 82.35 , 20 , 30.0 , 0
buffer_overrun_dynamic.c , Dynamic memory defects , Dynamic buffer overrun , 30 , 0 , 32 , 93.75 , 0.0 , 96.82 , 30 , 93.75 , 31 , 3.23 , 3
buffer_underrun_dynamic.c , Dynamic memory defects , Dynamic buffer underrun , 32 , 0 , 39 , 82.05 , 0.0 , 90.58 , 32 , 82.05 , 47 , 31.91 , 2
cmp_funcadr.c , Pointer related defects , Comparison NULL with function pointer , 0 , 0 , 2 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
conflicting_cond.c , Inappropriate code , Contradict conditions , 0 , 0 , 10 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 36 , 100.0 , 0
data_lost.c , Numerical defects , Integer precision lost because of cast , 9 , 0 , 19 , 47.37 , 0.0 , 68.82 , 9 , 47.37 , 13 , 30.77 , 6
data_overflow.c , Numerical defects , Data overflow , 0 , 0 , 25 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 8 , 100.0 , 0
data_underflow.c , Numerical defects , Data underflow , 0 , 0 , 12 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 1 , 100.0 , 0
dead_code.c , Inappropriate code , Dead code , 0 , 0 , 13 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
dead_lock.c , Concurrency defects , Dead lock , 0 , 0 , 5 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
deletion_of_data_structure_sentinel.c , Dynamic memory defects , Deletion of data structure sentinel , 1 , 1 , 3 , 33.33 , 33.33 , 47.14 , 0 , 0.0 , 2 , 50.0 , 0
double_free.c , Resource management defects , Double free , 12 , 0 , 12 , 100.0 , 0.0 , 100.0 , 12 , 100.0 , 17 , 29.41 , 0
double_lock.c , Concurrency defects , Double lock , 3 , 0 , 4 , 75.0 , 0.0 , 86.6 , 3 , 75.0 , 3 , 0.0 , 0
double_release.c , Concurrency defects , Double release , 5 , 0 , 6 , 83.33 , 0.0 , 91.29 , 5 , 83.33 , 31 , 83.87 , 0
endless_loop.c , Misc defects , Unintentional end less loop , 0 , 0 , 9 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
free_nondynamically_allocated_memory.c , Resource management defects , Free non dynamically allocated memory , 15 , 0 , 16 , 93.75 , 0.0 , 96.82 , 15 , 93.75 , 21 , 28.57 , 0
free_null_pointer.c , Pointer related defects , Free NULL pointer , 0 , 0 , 14 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 38 , 100.0 , 0
func_pointer.c , Pointer related defects , Bad cast of a function pointer , 9 , 2 , 15 , 60.0 , 13.33 , 72.11 , 8 , 53.33 , 37 , 75.68 , 0
function_return_value_unchecked.c , Inappropriate code , Return value of function never checked , 1 , 1 , 16 , 6.25 , 6.25 , 24.21 , 0 , 0.0 , 4 , 75.0 , 0
improper_termination_of_block.c , Inappropriate code , Improper termination of block , 0 , 0 , 4 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
insign_code.c , Misc defects , Useless assignment , 1 , 0 , 1 , 100.0 , 0.0 , 100.0 , 1 , 100.0 , 5 , 80.0 , 1
invalid_extern.c , Misc defects , Bad extern type for global variable , 0 , 0 , 6 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
invalid_memory_access.c , Resource management defects , Invalid memory access to already freed area , 15 , 4 , 17 , 88.24 , 23.53 , 82.14 , 11 , 64.71 , 46 , 67.39 , 0
littlemem_st.c , Dynamic memory defects , Assign small buffer for structure , 1 , 1 , 11 , 9.09 , 9.09 , 28.75 , 0 , 0.0 , 24 , 95.83 , 0
livelock.c , Concurrency defects , Live lock , 1 , 0 , 1 , 100.0 , 0.0 , 100.0 , 1 , 100.0 , 4 , 75.0 , 0
lock_never_unlock.c , Concurrency defects , Locked but never unlock , 0 , 0 , 9 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 8 , 100.0 , 0
memory_allocation_failure.c , Resource management defects , Memory allocation failure , 2 , 2 , 16 , 12.5 , 12.5 , 33.07 , 0 , 0.0 , 17 , 88.24 , 0
memory_leak.c , Resource management defects , Memory leakage , 7 , 3 , 18 , 38.89 , 16.67 , 56.93 , 4 , 22.22 , 52 , 86.54 , 0
not_return.c , Misc defects , Non void function does not return value , 0 , 0 , 4 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 16 , 100.0 , 0
null_pointer.c , Pointer related defects , Dereferencing a NULL pointer , 12 , 2 , 17 , 70.59 , 11.76 , 78.92 , 10 , 58.82 , 23 , 47.83 , 0
overrun_st.c , Static memory defects , Static buffer overrun , 50 , 0 , 54 , 92.59 , 0.0 , 96.23 , 50 , 92.59 , 63 , 20.63 , 0
ow_memcpy.c , Dynamic memory defects , Memory copy at overlapping areas , 1 , 1 , 2 , 50.0 , 50.0 , 50.0 , 0 , 0.0 , 2 , 50.0 , 0
pow_related_errors.c , Numerical defects , Power related errors , 0 , 0 , 29 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 1 , 100.0 , 0
ptr_subtraction.c , Pointer related defects , Incorrect pointer arithmetic , 2 , 1 , 2 , 100.0 , 50.0 , 70.71 , 1 , 50.0 , 4 , 50.0 , 0
race_condition.c , Concurrency defects , Race condition , 0 , 0 , 9 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 5 , 100.0 , 0
redundant_cond.c , Inappropriate code , Redundant conditions , 0 , 0 , 14 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 52 , 100.0 , 0
return_local.c , Resource management defects , Return of a pointer to a local variable , 1 , 0 , 2 , 50.0 , 0.0 , 70.71 , 1 , 50.0 , 1 , 0.0 , 0
sign_conv.c , Numerical defects , Integer sign lost because of unsigned cast , 10 , 0 , 19 , 52.63 , 0.0 , 72.55 , 10 , 52.63 , 22 , 54.55 , 3
sleep_lock.c , Concurrency defects , Long lock , 3 , 0 , 3 , 100.0 , 0.0 , 100.0 , 3 , 100.0 , 10 , 70.0 , 0
st_cross_thread_access.c , Stack related defects , Cross thread stack access , 1 , 0 , 6 , 16.67 , 0.0 , 40.82 , 1 , 16.67 , 13 , 92.31 , 0
st_overflow.c , Stack related defects , Stack overflow , 0 , 0 , 7 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
st_underrun.c , Stack related defects , Stack underrun , 5 , 2 , 7 , 71.43 , 28.57 , 71.43 , 3 , 42.86 , 44 , 88.64 , 3
underrun_st.c , Static memory defects , Static buffer underrun , 13 , 0 , 13 , 100.0 , 0.0 , 100.0 , 13 , 100.0 , 17 , 23.53 , 3
uninit_memory_access.c , Resource management defects , Uninitialized memory access , 8 , 2 , 15 , 53.33 , 13.33 , 67.99 , 6 , 40.0 , 25 , 68.0 , 1
uninit_pointer.c , Pointer related defects , Uninitialized pointer , 13 , 2 , 16 , 81.25 , 12.5 , 84.32 , 11 , 68.75 , 43 , 69.77 , 3
uninit_var.c , Misc defects , Uninitialized variable , 11 , 1 , 15 , 73.33 , 6.67 , 82.73 , 10 , 66.67 , 25 , 56.0 , 0
unlock_without_lock.c , Concurrency defects , Unlock without lock , 2 , 0 , 8 , 25.0 , 0.0 , 50.0 , 2 , 25.0 , 5 , 60.0 , 0
unused_var.c , Inappropriate code , Unused variable , 1 , 0 , 7 , 14.29 , 0.0 , 37.8 , 1 , 14.29 , 1 , 0.0 , 1
wrong_arguments_func_pointer.c , Pointer related defects , Wrong arguments passed to a function pointer , 13 , 12 , 18 , 72.22 , 66.67 , 49.07 , 1 , 5.56 , 59 , 77.97 , 1
zero_division.c , Numerical defects , Division by zero , 15 , 14 , 16 , 93.75 , 87.5 , 34.23 , 1 , 6.25 , 60 , 75.0 , 0
