File,LineStart,LineEnd,Error
st_underrun.c,204,204,Buffer overflow
ptr_subtraction.c,22,22,Dangerous pointer manipulation
ptr_subtraction.c,35,35,Dangerous pointer manipulation
zero_division.c,23,23,Division by zero
zero_division.c,34,34,Division by zero
zero_division.c,47,47,Division by zero
zero_division.c,78,78,Division by zero
zero_division.c,118,118,Division by zero
zero_division.c,141,141,Division by zero
zero_division.c,166,166,Division by zero
zero_division.c,178,178,Division by zero
zero_division.c,195,195,Division by zero
zero_division.c,206,206,Division by zero
zero_division.c,225,225,Division by zero
zero_division.c,252,252,Division by zero
double_free.c,22,22,Double free
double_free.c,43,43,Double free
double_free.c,64,64,Double free
double_free.c,87,87,Double free
double_free.c,101,101,Double free
double_free.c,115,115,Double free
double_free.c,131,131,Double free
double_free.c,149,149,Double free
double_free.c,168,168,Double free
double_free.c,187,187,Double free
double_free.c,204,204,Double free
double_free.c,222,222,Double free
free_null_pointer.c,109,109,Function calling with invalid null argument
free_null_pointer.c,146,146,Function calling with invalid null argument
free_null_pointer.c,241,241,Function calling with invalid null argument
memory_leak.c,424,424,Function calling with invalid null argument
null_pointer.c,238,238,Function calling with invalid null argument
pow_related_errors.c,441,441,Identical expressions
uninit_pointer.c,215,215,Incompatible allocated type
free_null_pointer.c,109,109,Insecure string API
free_null_pointer.c,146,146,Insecure string API
free_null_pointer.c,241,241,Insecure string API
free_null_pointer.c,275,275,Insecure string API
free_null_pointer.c,320,320,Insecure string API
invalid_memory_access.c,102,102,Insecure string API
invalid_memory_access.c,205,205,Insecure string API
invalid_memory_access.c,210,210,Insecure string API
invalid_memory_access.c,560,560,Insecure string API
invalid_memory_access.c,568,568,Insecure string API
invalid_memory_access.c,611,611,Insecure string API
invalid_memory_access.c,622,622,Insecure string API
memory_allocation_failure.c,495,495,Insecure string API
memory_allocation_failure.c,577,577,Insecure string API
memory_leak.c,73,73,Insecure string API
memory_leak.c,96,96,Insecure string API
memory_leak.c,270,270,Insecure string API
memory_leak.c,402,402,Insecure string API
