File,LineStart,LineEnd,Error
st_underrun.c,213,213,Buffer overflow
ptr_subtraction.c,23,23,Dangerous pointer manipulation
free_null_pointer.c,119,119,Function calling with invalid null argument
free_null_pointer.c,249,249,Function calling with invalid null argument
memory_leak.c,431,431,Function calling with invalid null argument
null_pointer.c,259,259,Function calling with invalid null argument
uninit_pointer.c,227,227,Incompatible allocated type
free_null_pointer.c,26,26,Insecure string API
free_null_pointer.c,119,119,Insecure string API
free_null_pointer.c,156,156,Insecure string API
free_null_pointer.c,249,249,Insecure string API
free_null_pointer.c,284,284,Insecure string API
free_null_pointer.c,325,325,Insecure string API
invalid_memory_access.c,105,105,Insecure string API
invalid_memory_access.c,213,213,Insecure string API
invalid_memory_access.c,567,567,Insecure string API
invalid_memory_access.c,576,576,Insecure string API
invalid_memory_access.c,622,622,Insecure string API
invalid_memory_access.c,634,634,Insecure string API
memory_allocation_failure.c,594,594,Insecure string API
memory_leak.c,76,76,Insecure string API
memory_leak.c,100,100,Insecure string API
memory_leak.c,277,277,Insecure string API
memory_leak.c,408,408,Insecure string API
memory_leak.c,431,431,Insecure string API
memory_leak.c,526,526,Insecure string API
null_pointer.c,259,259,Insecure string API
null_pointer.c,354,354,Insecure string API
st_underrun.c,81,81,Insecure string API
st_underrun.c,116,116,Insecure string API
st_underrun.c,213,213,Insecure string API
uninit_memory_access.c,55,55,Insecure string API
uninit_pointer.c,197,197,Insecure string API
uninit_pointer.c,400,400,Insecure string API
uninit_pointer.c,423,423,Insecure string API
uninit_var.c,152,152,Insecure string API
wrong_arguments_func_pointer.c,208,208,Insecure string API
wrong_arguments_func_pointer.c,209,209,Insecure string API
wrong_arguments_func_pointer.c,381,381,Insecure string API
wrong_arguments_func_pointer.c,435,435,Insecure string API
wrong_arguments_func_pointer.c,474,474,Insecure string API
data_overflow.c,99,99,Loss of precision
data_overflow.c,111,111,Loss of precision
wrong_arguments_func_pointer.c,370,370,Malloc overflow
free_null_pointer.c,112,112,Malloc overflow
free_null_pointer.c,239,239,Malloc overflow
invalid_memory_access.c,289,289,Malloc overflow
memory_allocation_failure.c,267,267,Malloc overflow
memory_leak.c,67,67,Malloc overflow
memory_leak.c,398,398,Malloc overflow
memory_leak.c,424,424,Malloc overflow
null_pointer.c,252,252,Malloc overflow
free_null_pointer.c,491,491,Memory leak
func_pointer.c,635,635,Memory leak
memory_allocation_failure.c,293,293,Memory leak
uninit_memory_access.c,131,131,Memory leak
uninit_pointer.c,132,132,Memory leak
uninit_pointer.c,132,132,Memory leak
uninit_pointer.c,132,132,Memory leak
uninit_pointer.c,132,132,Memory leak
uninit_pointer.c,132,132,Memory leak
uninit_pointer.c,248,248,Memory leak
wrong_arguments_func_pointer.c,218,218,Memory leak
wrong_arguments_func_pointer.c,220,220,Memory leak
wrong_arguments_func_pointer.c,357,357,Memory leak
wrong_arguments_func_pointer.c,596,596,Memory leak
livelock.c,33,33,Mutex double unlock
livelock.c,52,52,Mutex double unlock
buffer_underrun_dynamic.c,723,723,Null pointer dereference
invalid_memory_access.c,70,70,Null pointer dereference
invalid_memory_access.c,183,183,Null pointer dereference
invalid_memory_access.c,275,275,Null pointer dereference
memory_allocation_failure.c,84,84,Null pointer dereference
memory_leak.c,100,100,Null pointer dereference
uninit_memory_access.c,76,76,Null pointer dereference
free_nondynamically_allocated_memory.c,82,82,Reference to array element out of bounds
func_pointer.c,414,414,Reference to array element out of bounds
st_underrun.c,52,52,Reference to array element out of bounds
st_underrun.c,236,236,Reference to array element out of bounds
st_underrun.c,238,238,Reference to array element out of bounds
wrong_arguments_func_pointer.c,409,409,Reference to array element out of bounds
littlemem_st.c,36,36,Type cast error
littlemem_st.c,55,55,Type cast error
littlemem_st.c,92,92,Type cast error
littlemem_st.c,112,112,Type cast error
littlemem_st.c,138,138,Type cast error
littlemem_st.c,172,172,Type cast error
littlemem_st.c,215,215,Type cast error
littlemem_st.c,259,259,Type cast error
littlemem_st.c,301,301,Type cast error
littlemem_st.c,333,333,Type cast error
ow_memcpy.c,42,42,Uninitialized variable
st_underrun.c,236,236,Uninitialized variable
st_underrun.c,238,238,Uninitialized variable
st_underrun.c,242,242,Uninitialized variable
wrong_arguments_func_pointer.c,409,409,Uninitialized variable
bit_shift.c,120,120,Unsafe function: rand
conflicting_cond.c,24,24,Unsafe function: rand
conflicting_cond.c,43,43,Unsafe function: rand
conflicting_cond.c,62,62,Unsafe function: rand
conflicting_cond.c,81,81,Unsafe function: rand
conflicting_cond.c,104,104,Unsafe function: rand
conflicting_cond.c,138,138,Unsafe function: rand
conflicting_cond.c,158,158,Unsafe function: rand
conflicting_cond.c,178,178,Unsafe function: rand
conflicting_cond.c,199,199,Unsafe function: rand
data_lost.c,160,160,Unsafe function: rand
data_overflow.c,205,205,Unsafe function: rand
