Filename, Defect, Subdefect, TP, FP, Variations, Detection rate, False pos rate, Productivity, Robust detection count, Robust detection rate,Warning count, Noise rate , Unique
bit_shift.c , Numerical defects , Bit shift bigger than integral type or negative , 14 , 0 , 17 , 82.35 , 0.0 , 90.75 , 14 , 82.35 , 14 , 0.0 , 0
buffer_overrun_dynamic.c , Dynamic memory defects , Dynamic buffer overrun , 18 , 0 , 32 , 56.25 , 0.0 , 75.0 , 18 , 56.25 , 18 , 0.0 , 0
buffer_underrun_dynamic.c , Dynamic memory defects , Dynamic buffer underrun , 24 , 0 , 39 , 61.54 , 0.0 , 78.45 , 24 , 61.54 , 29 , 17.24 , 0
cmp_funcadr.c , Pointer related defects , Comparison NULL with function pointer , 0 , 0 , 2 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 2 , 100.0 , 0
conflicting_cond.c , Inappropriate code , Contradict conditions , 1 , 0 , 10 , 10.0 , 0.0 , 31.62 , 1 , 10.0 , 7 , 85.71 , 0
data_lost.c , Numerical defects , Integer precision lost because of cast , 0 , 0 , 19 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
data_overflow.c , Numerical defects , Data overflow , 1 , 0 , 25 , 4.0 , 0.0 , 20.0 , 1 , 4.0 , 1 , 0.0 , 0
data_underflow.c , Numerical defects , Data underflow , 1 , 0 , 12 , 8.33 , 0.0 , 28.87 , 1 , 8.33 , 1 , 0.0 , 0
dead_code.c , Inappropriate code , Dead code , 3 , 1 , 13 , 23.08 , 7.69 , 46.15 , 2 , 15.38 , 18 , 83.33 , 2
dead_lock.c , Concurrency defects , Dead lock , 0 , 0 , 5 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
deletion_of_data_structure_sentinel.c , Dynamic memory defects , Deletion of data structure sentinel , 0 , 0 , 3 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
double_free.c , Resource management defects , Double free , 9 , 0 , 12 , 75.0 , 0.0 , 86.6 , 9 , 75.0 , 10 , 10.0 , 0
double_lock.c , Concurrency defects , Double lock , 3 , 0 , 4 , 75.0 , 0.0 , 86.6 , 3 , 75.0 , 3 , 0.0 , 0
double_release.c , Concurrency defects , Double release , 5 , 0 , 6 , 83.33 , 0.0 , 91.29 , 5 , 83.33 , 5 , 0.0 , 0
endless_loop.c , Misc defects , Unintentional end less loop , 0 , 0 , 9 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 8 , 100.0 , 0
free_nondynamically_allocated_memory.c , Resource management defects , Free non dynamically allocated memory , 15 , 3 , 16 , 93.75 , 18.75 , 87.28 , 12 , 75.0 , 21 , 28.57 , 0
free_null_pointer.c , Pointer related defects , Free NULL pointer , 0 , 0 , 14 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 45 , 100.0 , 0
func_pointer.c , Pointer related defects , Bad cast of a function pointer , 1 , 0 , 15 , 6.67 , 0.0 , 25.82 , 1 , 6.67 , 8 , 87.5 , 0
function_return_value_unchecked.c , Inappropriate code , Return value of function never checked , 0 , 0 , 16 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 4 , 100.0 , 0
improper_termination_of_block.c , Inappropriate code , Improper termination of block , 0 , 0 , 4 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
insign_code.c , Misc defects , Useless assignment , 0 , 0 , 1 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
invalid_extern.c , Misc defects , Bad extern type for global variable , 0 , 0 , 6 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
invalid_memory_access.c , Resource management defects , Invalid memory access to already freed area , 13 , 5 , 17 , 76.47 , 29.41 , 73.47 , 8 , 47.06 , 38 , 65.79 , 0
littlemem_st.c , Dynamic memory defects , Assign small buffer for structure , 0 , 0 , 11 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 2 , 100.0 , 0
livelock.c , Concurrency defects , Live lock , 1 , 0 , 1 , 100.0 , 0.0 , 100.0 , 1 , 100.0 , 4 , 75.0 , 0
lock_never_unlock.c , Concurrency defects , Locked but never unlock , 0 , 0 , 9 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 4 , 100.0 , 0
memory_allocation_failure.c , Resource management defects , Memory allocation failure , 0 , 0 , 16 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 16 , 100.0 , 0
memory_leak.c , Resource management defects , Memory leakage , 0 , 0 , 18 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 38 , 100.0 , 0
not_return.c , Misc defects , Non void function does not return value , 0 , 0 , 4 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
null_pointer.c , Pointer related defects , Dereferencing a NULL pointer , 12 , 2 , 17 , 70.59 , 11.76 , 78.92 , 10 , 58.82 , 23 , 47.83 , 0
