File,LineStart,LineEnd,Error
data_overflow.c,319,319,overflow in expression; result is -2147483648 with type 'int'
data_underflow.c,82,82,overflow in expression; result is 2147483647 with type 'int'
dead_code.c,24,24,code will never be executed
dead_code.c,132,132,loop will run at most once (loop increment never executed)
dead_code.c,132,132,Change this loop body so that it can be executed more than once.
dead_code.c,149,149,Change this loop body so that it can be executed more than once.
dead_code.c,151,151,code will never be executed
dead_code.c,167,167,Change this loop body so that it can be executed more than once.
dead_code.c,189,189,Change this loop body so that it can be executed more than once.
dead_code.c,206,206,Change this loop body so that it can be executed more than once.
dead_code.c,229,229,Change this loop body so that it can be executed more than once.
dead_code.c,247,247,Change this loop body so that it can be executed more than once.
double_free.c,22,22,Attempt to free released memory
double_free.c,101,101,Attempt to free released memory
double_free.c,115,115,Attempt to free released memory
double_free.c,131,131,Attempt to free released memory
double_free.c,149,149,Attempt to free released memory
double_free.c,168,168,Attempt to free released memory
double_free.c,187,187,Attempt to free released memory
double_free.c,204,204,Attempt to free released memory
double_free.c,222,222,Attempt to free released memory
double_lock.c,42,42,This lock has already been acquired
double_lock.c,93,93,This lock has already been acquired
double_lock.c,140,140,This lock has already been acquired
double_release.c,35,35,This lock has already been unlocked
double_release.c,133,133,This lock has already been unlocked
double_release.c,178,178,This lock has already been unlocked
double_release.c,226,226,This lock has already been unlocked
double_release.c,283,283,This lock has already been unlocked
endless_loop.c,22,22,"Variable ""i"" modified in the update is not referenced in the condition."
endless_loop.c,22,22,"Variable ""i"" modified in the initializer is not referenced in the condition."
endless_loop.c,26,26,code will never be executed
endless_loop.c,39,39,"Variable ""i"" referenced in the condition is not modified in the update."
endless_loop.c,59,59,code will never be executed
endless_loop.c,169,169,code will never be executed
free_nondynamically_allocated_memory.c,22,22,"Argument to free() is the address of a global variable, which is not memory allocated by malloc()"
free_nondynamically_allocated_memory.c,36,36,"Argument to free() is the address of a global variable, which is not memory allocated by malloc()"
free_nondynamically_allocated_memory.c,48,48,"Argument to free() is the address of a global variable, which is not memory allocated by malloc()"
free_nondynamically_allocated_memory.c,62,62,"Argument to free() is the address of the local variable 'ptr1', which is not memory allocated by malloc()"
free_nondynamically_allocated_memory.c,82,82,Dereference of null pointer
free_nondynamically_allocated_memory.c,86,86,"Argument to free() is the address of the local variable 'pbuf', which is not memory allocated by malloc()"
free_nondynamically_allocated_memory.c,103,103,"Argument to free() is the address of the local variable 'd', which is not memory allocated by malloc()"
free_nondynamically_allocated_memory.c,115,115,"Argument to free() is the address of a global variable, which is not memory allocated by malloc()"
free_nondynamically_allocated_memory.c,128,128,"Argument to free() is the address of a global variable, which is not memory allocated by malloc()"
free_nondynamically_allocated_memory.c,141,141,"Argument to free() is the address of a global variable, which is not memory allocated by malloc()"
free_nondynamically_allocated_memory.c,155,155,"Argument to free() is the address of a global variable, which is not memory allocated by malloc()"
free_nondynamically_allocated_memory.c,170,170,"Argument to free() is the address of a global variable, which is not memory allocated by malloc()"
free_nondynamically_allocated_memory.c,187,187,"Argument to free() is the address of a global variable, which is not memory allocated by malloc()"
free_nondynamically_allocated_memory.c,209,209,"Argument to free() is the address of the local variable 'str', which is not memory allocated by malloc()"
