Filename, Defect, Subdefect, TP, FP, Variations, Detection rate, False pos rate, Productivity, Robust detection count, Robust detection rate,Warning count, Noise rate , Unique
bit_shift.c , Numerical defects , Bit shift bigger than integral type or negative , 14 , 14 , 17 , 82.35 , 82.35 , 38.12 , 0 , 0.0 , 130 , 89.23 , 0
buffer_overrun_dynamic.c , Dynamic memory defects , Dynamic buffer overrun , 3 , 4 , 32 , 9.38 , 12.5 , 28.64 , 0 , 0.0 , 183 , 98.36 , 0
buffer_underrun_dynamic.c , Dynamic memory defects , Dynamic buffer underrun , 1 , 3 , 39 , 2.56 , 7.69 , 15.38 , 0 , 0.0 , 111 , 99.1 , 0
cmp_funcadr.c , Pointer related defects , Comparison NULL with function pointer , 0 , 0 , 2 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 20 , 100.0 , 0
conflicting_cond.c , Inappropriate code , Contradict conditions , 0 , 0 , 10 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 40 , 100.0 , 0
data_lost.c , Numerical defects , Integer precision lost because of cast , 17 , 17 , 19 , 89.47 , 89.47 , 30.69 , 0 , 0.0 , 131 , 87.02 , 0
data_overflow.c , Numerical defects , Data overflow , 2 , 2 , 25 , 8.0 , 8.0 , 27.13 , 0 , 0.0 , 134 , 98.51 , 0
data_underflow.c , Numerical defects , Data underflow , 1 , 1 , 12 , 8.33 , 8.33 , 27.64 , 0 , 0.0 , 68 , 98.53 , 0
dead_code.c , Inappropriate code , Dead code , 1 , 1 , 13 , 7.69 , 7.69 , 26.65 , 0 , 0.0 , 90 , 98.89 , 0
dead_lock.c , Concurrency defects , Dead lock , 0 , 0 , 5 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
deletion_of_data_structure_sentinel.c , Dynamic memory defects , Deletion of data structure sentinel , 1 , 1 , 3 , 33.33 , 33.33 , 47.14 , 0 , 0.0 , 16 , 93.75 , 0
double_free.c , Resource management defects , Double free , 3 , 3 , 12 , 25.0 , 25.0 , 43.3 , 1 , 8.33 , 151 , 98.01 , 0
double_lock.c , Concurrency defects , Double lock , 0 , 0 , 4 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
double_release.c , Concurrency defects , Double release , 0 , 0 , 6 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
endless_loop.c , Misc defects , Unintentional end less loop , 0 , 3 , 9 , 0.0 , 33.33 , 0.0 , 0 , 0.0 , 64 , 100.0 , 0
free_nondynamically_allocated_memory.c , Resource management defects , Free non dynamically allocated memory , 12 , 1 , 16 , 75.0 , 6.25 , 83.85 , 11 , 68.75 , 121 , 90.08 , 1
free_null_pointer.c , Pointer related defects , Free NULL pointer , 3 , 4 , 14 , 21.43 , 28.57 , 39.12 , 1 , 7.14 , 86 , 96.51 , 1
func_pointer.c , Pointer related defects , Bad cast of a function pointer , 4 , 1 , 15 , 26.67 , 6.67 , 49.89 , 3 , 20.0 , 106 , 96.23 , 0
function_return_value_unchecked.c , Inappropriate code , Return value of function never checked , 1 , 0 , 16 , 6.25 , 0.0 , 25.0 , 1 , 6.25 , 1 , 0.0 , 0
improper_termination_of_block.c , Inappropriate code , Improper termination of block , 2 , 0 , 4 , 50.0 , 0.0 , 70.71 , 2 , 50.0 , 18 , 88.89 , 0
insign_code.c , Misc defects , Useless assignment , 0 , 0 , 1 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 4 , 100.0 , 0
invalid_extern.c , Misc defects , Bad extern type for global variable , 0 , 0 , 6 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 28 , 100.0 , 0
invalid_memory_access.c , Resource management defects , Invalid memory access to already freed area , 9 , 3 , 17 , 52.94 , 17.65 , 66.03 , 7 , 41.18 , 114 , 92.11 , 0
littlemem_st.c , Dynamic memory defects , Assign small buffer for structure , 0 , 0 , 11 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 138 , 100.0 , 0
livelock.c , Concurrency defects , Live lock , 0 , 0 , 1 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
lock_never_unlock.c , Concurrency defects , Locked but never unlock , 0 , 0 , 9 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
memory_allocation_failure.c , Resource management defects , Memory allocation failure , 7 , 7 , 16 , 43.75 , 43.75 , 49.61 , 0 , 0.0 , 126 , 94.44 , 0
memory_leak.c , Resource management defects , Memory leakage , 8 , 4 , 18 , 44.44 , 22.22 , 58.79 , 4 , 22.22 , 77 , 89.61 , 0
not_return.c , Misc defects , Non void function does not return value , 4 , 2 , 4 , 100.0 , 50.0 , 70.71 , 2 , 50.0 , 40 , 90.0 , 0
null_pointer.c , Pointer related defects , Dereferencing a NULL pointer , 9 , 2 , 17 , 52.94 , 11.76 , 68.35 , 8 , 47.06 , 81 , 88.89 , 0
overrun_st.c , Static memory defects , Static buffer overrun , 5 , 5 , 54 , 9.26 , 9.26 , 28.99 , 0 , 0.0 , 346 , 98.55 , 0
ow_memcpy.c , Dynamic memory defects , Memory copy at overlapping areas , 0 , 0 , 2 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 14 , 100.0 , 0
pow_related_errors.c , Numerical defects , Power related errors , 1 , 0 , 29 , 3.45 , 0.0 , 18.57 , 1 , 3.45 , 190 , 99.47 , 1
ptr_subtraction.c , Pointer related defects , Incorrect pointer arithmetic , 0 , 0 , 2 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 10 , 100.0 , 0
